"Reference"  ,"Value"               ,"Notes"
"D1"         ,"3mm Red LED"         ,""
"J1"         ,"02x20 Female Header" ,"2.54mm Pitch, Long Pins"
"J2"         ,"02x22 Male Header"   ,"2.00mm Pitch (IDE)"
"J3"         ,"01x10 Female Header" ,"2.54mm Pitch, Long Pins"
"J4"         ,"01x15 Female Header" ,"2.54mm Pitch, Long Pins"
"J5"         ,"02x07 Male Header"   ,"2.54mm Pitch"
"R1,R3"      ,"10K"                 ,""
"R2"         ,"330R"                ,""
"R4,R5"      ,"1K"                  ,""
"U1"         ,"74HCT08"             ,"http://www.ti.com/lit/gpn/sn74HCT08"
"U2,U6"      ,"74HCT574"            ,"http://www.ti.com/lit/gpn/sn74HCT574"
"U3"         ,"74HCT139"            ,"http://www.ti.com/lit/gpn/sn74HCT139"
"U4"         ,"74HCT32"             ,"http://www.ti.com/lit/gpn/sn74HCT32"
"U5"         ,"74HCT74"             ,"http://www.ti.com/lit/gpn/sn74HCT74"
"U7"         ,"74HCT245"            ,"http://www.ti.com/lit/gpn/sn74HCT245"
"U8"         ,"74HCT138"            ,"http://www.ti.com/lit/gpn/sn74HCT138"
"IC Sockets" ,"DIP-14"              ,"x3"
"IC Sockets" ,"DIP-16"              ,"x2"
"IC Sockets" ,"DIP-20"              ,"x3"
"Connector"  ,"02x22 2mm IDC Cable" ,"2mm Pitch Connectors and Ribbon"
"Connector"  ,"PATA to USB 2.0"     ,"https://www.ebay.com.au/itm/195287884573"
"HDD"        ,"PATA Drive"          ,"https://www.ebay.com.au/itm/151955808319"

For Compact Flash instead of a hard drive use:
"Connector"  ,"CF to IDE"           ,"https://www.ebay.com.au/itm/395749524762"
"Adaptor"    ,"CF to USB 3.0"       ,"https://www.ebay.com.au/itm/373440358351"
"CF"         ,"CF Card"             ,"https://www.ebay.com.au/itm/305537726616"


